Queqtion,choix1,2,3,4,5,6
À quelle température l'eau boue t-elle ?,100°C,80°C,900°C,50°C,90°C,42°C
Quelle technique permet de séparer un mélange d’eau et de sable ?,filtration,neutralisation,fatalisation,séparation,complication,aliénation
Dans quel état passe l'eau lorsqu'elle atteint 100°C ?,vapeur,buée,brouillard,condensation,atomisation,ridiculisation
Quel gaz est indispensable à la combustion ?,dioxygène,monoxyde de carbone,butane,azote,méthane,butagaz
Comment appelle-t-on une transformation où de nouvelles substances se forment ?,transformation chimique,transformation physique,dissolution,mélange homogène,mélange hétérogène,évaporation,fusion,solidification
Comment appelle-t-on une transformation où les substances ne changent pas de nature ?,transformation physique,transformation chimique,réaction chimique,mélange homogène,mélange hétérogène,dissolution,combustion,oxydation
Quel est le produit de la combustion complète d'un hydrocarbure avec du dioxygène ?,dioxyde de carbone et eau,monoxyde de carbone et eau,dioxygène et azote,vapeur d’eau et azote,méthane et dioxygène,carbone et hydrogène,oxygène et méthane,hydrogène et azote
Comment appelle-t-on une transformation où un solide disparaît dans un liquide ?,dissolution,fusion,solidification,évaporation,ébullition,précipitation,décantation,filtration
Quel gaz est produit lors de la combustion incomplète d'un hydrocarbure ?,monoxyde de carbone,dioxyde de carbone,dioxygène,azote,vapeur d’eau,méthane,propane,hydrogène
Quelle est la formule chimique de l'oxygène dans l’air ?,O₂,CO₂,H₂O,CH₄,NH₃,O₃,NO₂,N₂
Quel gaz est indispensable à la respiration des êtres vivants ?,dioxygène,dioxyde de carbone,méthane,azote,ozone,hydrogène,ammoniac,hélium
Comment appelle-t-on le passage de l’état solide directement à l’état gazeux ?,sublimation,condensation,vaporisation,fusion,solidification,liquéfaction,évaporation,ébullition
Quelle est l’unité utilisée pour mesurer la masse volumique ?,kg/m³,kg,g,L,J,W,N,A
Comment appelle-t-on la propriété d’un liquide à former des gouttes ?,tension superficielle,viscosité,densité,solubilité,cohésion,adhérence,capillarité,fusion
Quelle forme d'énergie est contenue dans un objet en mouvement ?,énergie cinétique,énergie potentielle,énergie thermique,énergie chimique,énergie lumineuse,énergie électrique,énergie sonore,énergie nucléaire
Quelle forme d’énergie est liée à l’altitude d’un objet ?,énergie potentielle,énergie cinétique,énergie thermique,énergie chimique,énergie lumineuse,énergie sonore,énergie électrique,énergie nucléaire
Quelle est la principale source d’énergie pour la Terre ?,soleil,vent,pétrole,charbon,eau,uranium,biomasse,gaz naturel
Quelle unité est utilisée pour mesurer l’énergie ?,joule (J),watt (W),newton (N),ampère (A),volt (V),coulomb (C),hertz (Hz),ohm (Ω)
Comment appelle-t-on l'énergie transportée par un courant électrique ?,énergie électrique,énergie thermique,énergie lumineuse,énergie cinétique,énergie chimique,énergie potentielle,énergie sonore,énergie nucléaire
Quelle est la vitesse de la lumière dans le vide ?,300 000 km/s,150 000 km/s,250 000 km/s,200 000 km/s,350 000 km/s,100 000 km/s,400 000 km/s,450 000 km/s
Quelle est la couleur de la lumière qui contient toutes les autres ?,blanche,rouge,bleue,verte,jaune,noire,violette,orange
Quel type d’onde est la lumière ?,onde électromagnétique,onde sonore,onde mécanique,onde de pression,onde thermique,onde transversale,onde longitudinale,onde vibratoire
Quel phénomène permet à un objet d’apparaître de couleur verte ?,réflexion de la lumière verte,absorption de la lumière verte,réfraction de la lumière verte,dispersion de la lumière verte,diffraction de la lumière verte,absorption des autres couleurs,interférence lumineuse,polarisation
Quel appareil permet de décomposer la lumière ?,prisme,miroir,lentille,télescope,microscope,filtre polarisant,laser,ampoule
Comment appelle-t-on une matière qui laisse passer le courant ?,conducteur,isolant,semi-conducteur,diélectrique,plastique,caoutchouc,bois,papier
Quel appareil mesure la tension électrique ?,voltmètre,ampèremètre,wattmètre,ohmmètre,galvanomètre,baromètre,thermomètre,hydromètre
Que se passe-t-il si un circuit est ouvert ?,le courant ne circule pas,le courant circule,l’appareil s’allume,la tension augmente,la résistance diminue,le générateur fonctionne,l’appareil chauffe,le circuit est en série
Quel appareil convertit l’énergie chimique en énergie électrique ?,pile,alternateur,dynamo,moteur électrique,transformateur,panneau solaire,éolienne,condensateur
Comment appelle-t-on un circuit où tous les composants sont connectés les uns après les autres ?,en série,en parallèle,en étoile,en boucle,en pont,en grappe,en arborescence,en réseau
Quel appareil mesure la température ?,thermomètre,baromètre,hydromètre,voltmètre,ampèremètre,galvanomètre,calorimètre,hygromètre
Quel est le point de fusion de l’eau pure à pression normale ?,0 °C,100 °C,50 °C,-10 °C,10 °C,-50 °C,25 °C,200 °C
Quel phénomène se produit lorsque l’eau bout ?,ébullition,fusion,évaporation,condensation,sublimation,solidification,liquéfaction,précipitation
Comment appelle-t-on la quantité de chaleur nécessaire pour élever la température de 1 kg d’une substance de 1 °C ?,chaleur spécifique,chaleur latente,énergie thermique,conductivité thermique,capacité thermique,enthalpie,entropie,énergie cinétique
Comment appelle-t-on un matériau qui ralentit la propagation de la chaleur ?,isolant thermique,conducteur thermique,matériau réfractaire,semi-conducteur thermique,matériau transparent,superisolant,dissipateur,convecteur
Quel est l'état de l'eau à 0°C sous pression normale ?,Solide,Liquide,Gazeux,Plasma,Amorphe,Cristallin,Glace,Vapeur
Quelle est la charge électrique d’un électron ?,Négative,Positive,Neutre,Variable,Nulle,Proportionnelle,Inconnue,Aucun
Quel est le symbole chimique du sodium ?,Na,S,N,Si,Sn,Sr,Sb,Sc
Comment appelle-t-on un mélange où l'on distingue les constituants ?,Hétérogène,Homogène,Dissolution,Solution,Suspension,Colloïde,Phase,Fusion
Quelle est la formule chimique du dioxygène ?,O₂,CO₂,O,O₃,H₂O,H₂,N₂,H₂O₂
Comment appelle-t-on une transformation qui libère de l'énergie ?,Exothermique,Endothermique,Thermique,Isotherme,Adiabatique,Isobare,Polaire,Réversible
Comment appelle-t-on la plus petite unité de matière ?,Atome,Molécule,Électron,Proton,Neutron,Ion,Cristal,Noyau
Quel appareil mesure l’intensité du courant électrique ?,Ampèremètre,Voltmètre,Ohmmètre,Wattmètre,Galvanomètre,Thermomètre,Baromètre,Hygromètre
Quelle est la formule chimique de l’eau ?,H₂O,CO₂,O₂,H₂,CH₄,NH₃,H₂O₂,N₂O
Comment appelle-t-on un matériau qui ne laisse pas passer le courant électrique ?,Isolant,Conducteur,Semi-conducteur,Métal,Diélectrique,Superconducteur,Plastique,Résistif
Quelle est l'unité de la tension électrique ?,Volt (V),Ampère (A),Ohm (Ω),Watt (W),Joule (J),Coulomb (C),Hertz (Hz),Newton (N)
Comment appelle-t-on le passage de l’état liquide à l’état gazeux ?,Évaporation,Fusion,Condensation,Solidification,Sublimation,Liquéfaction,Précipitation,Ébullition
Que produit une combustion complète d’un hydrocarbure ?,Dioxyde de carbone et eau,Monoxyde de carbone et eau,Dioxygène et azote,Hydrogène et carbone,Méthane et oxygène,Propane et dioxygène,Vapeur d’eau seule,Aucun gaz
Quelle est la particule positive dans un atome ?,Proton,Électron,Neutron,Ion,Noyau,Orbite,Atome,Molécule
Quelle est la vitesse approximative du son dans l'air ?,340 m/s,300 m/s,400 m/s,500 m/s,250 m/s,1000 m/s,200 m/s,600 m/s
Comment appelle-t-on le passage de l’état gazeux à l’état liquide ?,Condensation,Sublimation,Fusion,Solidification,Évaporation,Liquéfaction,Précipitation,Ébullition
Quel gaz est essentiel pour la combustion ?,Dioxygène,Dioxyde de carbone,Azote,Hydrogène,Méthane,Ozone,Hélium,Ammoniac
Quelle est l’unité de mesure de l’énergie ?,Joule (J),Watt (W),Volt (V),Ampère (A),Newton (N),Hertz (Hz),Coulomb (C),Ohm (Ω)
Comment appelle-t-on un circuit où les composants sont connectés côte à côte ?,En parallèle,En série,En étoile,En boucle,En réseau,En pont,En arborescence,En grappe
Quelle est la formule chimique du dioxyde de carbone ?,CO₂,CO,C,C₂H₆,O₂,H₂O,H₂,CH₄
